AQ1,BQ1,CQ1,DQ1,EQ1,FQ1,GQ1,HQ1,IQ1,JQ1,KQ1,LQ1,MQ1,NQ1,OQ1,PQ1,AQ2,BQ2,CQ2,DQ2,EQ2,FQ2,GQ2,HQ2,IQ2,JQ2,KQ2,LQ2,MQ2,NQ2,OQ2,PQ2,AQ3,BQ3,CQ3,DQ3,EQ3,FQ3,GQ3,HQ3,IQ3,JQ3,KQ3,LQ3,MQ3,NQ3,OQ3,PQ3,AQ4,BQ4,CQ4,DQ4,EQ4,FQ4,GQ4,HQ4,IQ4,JQ4,KQ4,LQ4,MQ4,NQ4,OQ4,PQ4
91.23, 8.77, 3.66, 5.11, 0.38, 5.49, 4.63, 5.53, 19.9, 33.04, 14.83, 77.61, 22.39, 1.24, 22.42, 5.36, 88.69, 11.31, 3.76, 7.55, -0.36, 7.18, 6.18, 6.62, 21.46, 32.85, 13.91, 77.03, 22.97, 1.29, 22.28, 5.33, 86.96, 13.04, 3.74, 9.3, -0.01, 9.29, 7.72, 7.21, 21.16, 31.47, 14.63, 78.43, 21.57, 1.23, 23.05, 5.44, 88.03, 11.97, 3.85, 8.13, -0.33, 7.8, 6.6, 7.74, 19.26, 31.72, 15.84, 78.27, 21.73, 1.49, 23.1, 5.45
88.69, 11.31, 3.76, 7.55, -0.36, 7.18, 6.18, 6.62, 21.46, 32.85, 13.91, 77.03, 22.97, 1.29, 22.28, 5.33, 86.96, 13.04, 3.74, 9.3, -0.01, 9.29, 7.72, 7.21, 21.16, 31.47, 14.63, 78.43, 21.57, 1.23, 23.05, 5.44, 88.03, 11.97, 3.85, 8.13, -0.33, 7.8, 6.6, 7.74, 19.26, 31.72, 15.84, 78.27, 21.73, 1.49, 23.1, 5.45, 87.79, 12.21, 4.27, 7.94, -0.46, 7.47, 5.93, 4.97, 20.44, 29.95, 16.66, 77.84, 22.16, 1.43, 23.11, 5.45
86.96, 13.04, 3.74, 9.3, -0.01, 9.29, 7.72, 7.21, 21.16, 31.47, 14.63, 78.43, 21.57, 1.23, 23.05, 5.44, 88.03, 11.97, 3.85, 8.13, -0.33, 7.8, 6.6, 7.74, 19.26, 31.72, 15.84, 78.27, 21.73, 1.49, 23.1, 5.45, 87.79, 12.21, 4.27, 7.94, -0.46, 7.47, 5.93, 4.97, 20.44, 29.95, 16.66, 77.84, 22.16, 1.43, 23.11, 5.45, 90.13, 9.87, 4.53, 5.34, 0.87, 6.21, 4.51, 1.82, 23.13, 29.52, 14.83, 77.64, 22.36, 1.21, 23.22, 5.48
88.03, 11.97, 3.85, 8.13, -0.33, 7.8, 6.6, 7.74, 19.26, 31.72, 15.84, 78.27, 21.73, 1.49, 23.1, 5.45, 87.79, 12.21, 4.27, 7.94, -0.46, 7.47, 5.93, 4.97, 20.44, 29.95, 16.66, 77.84, 22.16, 1.43, 23.11, 5.45, 90.13, 9.87, 4.53, 5.34, 0.87, 6.21, 4.51, 1.82, 23.13, 29.52, 14.83, 77.64, 22.36, 1.21, 23.22, 5.48, 93.79, 6.21, 4.99, 1.22, 0.69, 1.91, 1.69, 0.41, 22.25, 30.73, 14.83, 79.47, 20.53, 1.01, 23.06, 5.5
87.79, 12.21, 4.27, 7.94, -0.46, 7.47, 5.93, 4.97, 20.44, 29.95, 16.66, 77.84, 22.16, 1.43, 23.11, 5.45, 90.13, 9.87, 4.53, 5.34, 0.87, 6.21, 4.51, 1.82, 23.13, 29.52, 14.83, 77.64, 22.36, 1.21, 23.22, 5.48, 93.79, 6.21, 4.99, 1.22, 0.69, 1.91, 1.69, 0.41, 22.25, 30.73, 14.83, 79.47, 20.53, 1.01, 23.06, 5.5, 92.49, 7.51, 4.66, 2.85, 0.49, 3.33, 2.67, 1.59, 19.81, 32.89, 14.69, 80.07, 19.93, 1.17, 23.26, 5.55
90.13, 9.87, 4.53, 5.34, 0.87, 6.21, 4.51, 1.82, 23.13, 29.52, 14.83, 77.64, 22.36, 1.21, 23.22, 5.48, 93.79, 6.21, 4.99, 1.22, 0.69, 1.91, 1.69, 0.41, 22.25, 30.73, 14.83, 79.47, 20.53, 1.01, 23.06, 5.5, 92.49, 7.51, 4.66, 2.85, 0.49, 3.33, 2.67, 1.59, 19.81, 32.89, 14.69, 80.07, 19.93, 1.17, 23.26, 5.55, 93.58, 6.42, 4.98, 1.45, -0.17, 1.28, 1.12, 0.41, 20.87, 31.22, 14.92, 81.87, 18.13, 1.14, 23.51, 5.61
93.79, 6.21, 4.99, 1.22, 0.69, 1.91, 1.69, 0.41, 22.25, 30.73, 14.83, 79.47, 20.53, 1.01, 23.06, 5.5, 92.49, 7.51, 4.66, 2.85, 0.49, 3.33, 2.67, 1.59, 19.81, 32.89, 14.69, 80.07, 19.93, 1.17, 23.26, 5.55, 93.58, 6.42, 4.98, 1.45, -0.17, 1.28, 1.12, 0.41, 20.87, 31.22, 14.92, 81.87, 18.13, 1.14, 23.51, 5.61, 83.8, 16.2, 4.77, 11.42, -1.72, 9.7, 8.78, 8.08, 20.79, 31.95, 14.51, 80.9, 19.1, 1.09, 23.49, 5.6
92.49, 7.51, 4.66, 2.85, 0.49, 3.33, 2.67, 1.59, 19.81, 32.89, 14.69, 80.07, 19.93, 1.17, 23.26, 5.55, 93.58, 6.42, 4.98, 1.45, -0.17, 1.28, 1.12, 0.41, 20.87, 31.22, 14.92, 81.87, 18.13, 1.14, 23.51, 5.61, 83.8, 16.2, 4.77, 11.42, -1.72, 9.7, 8.78, 8.08, 20.79, 31.95, 14.51, 80.9, 19.1, 1.09, 23.49, 5.6, 82.54, 17.46, 4.93, 12.53, -0.54, 11.99, 10.37, 9.86, 20.69, 30.84, 15.54, 80.21, 19.79, 1.1, 23.53, 5.64
93.58, 6.42, 4.98, 1.45, -0.17, 1.28, 1.12, 0.41, 20.87, 31.22, 14.92, 81.87, 18.13, 1.14, 23.51, 5.61, 83.8, 16.2, 4.77, 11.42, -1.72, 9.7, 8.78, 8.08, 20.79, 31.95, 14.51, 80.9, 19.1, 1.09, 23.49, 5.6, 82.54, 17.46, 4.93, 12.53, -0.54, 11.99, 10.37, 9.86, 20.69, 30.84, 15.54, 80.21, 19.79, 1.1, 23.53, 5.64, 86.45, 13.55, 4.88, 8.68, -1.21, 7.47, 6.55, 6.15, 18.21, 33.04, 15.81, 79.29, 20.71, 1.28, 23.33, 5.59
83.8, 16.2, 4.77, 11.42, -1.72, 9.7, 8.78, 8.08, 20.79, 31.95, 14.51, 80.9, 19.1, 1.09, 23.49, 5.6, 82.54, 17.46, 4.93, 12.53, -0.54, 11.99, 10.37, 9.86, 20.69, 30.84, 15.54, 80.21, 19.79, 1.1, 23.53, 5.64, 86.45, 13.55, 4.88, 8.68, -1.21, 7.47, 6.55, 6.15, 18.21, 33.04, 15.81, 79.29, 20.71, 1.28, 23.33, 5.59, 88.01, 11.99, 4.24, 7.75, -1.26, 6.49, 5.64, 2.87, 21.56, 29.35, 16.37, 78.08, 21.92, 1.03, 23.34, 5.6
82.54, 17.46, 4.93, 12.53, -0.54, 11.99, 10.37, 9.86, 20.69, 30.84, 15.54, 80.21, 19.79, 1.1, 23.53, 5.64, 86.45, 13.55, 4.88, 8.68, -1.21, 7.47, 6.55, 6.15, 18.21, 33.04, 15.81, 79.29, 20.71, 1.28, 23.33, 5.59, 88.01, 11.99, 4.24, 7.75, -1.26, 6.49, 5.64, 2.87, 21.56, 29.35, 16.37, 78.08, 21.92, 1.03, 23.34, 5.6, 89.65, 10.35, 4.21, 6.13, -0.92, 5.21, 4.72, 6.85, 24.4, 28.59, 14.66, 76.49, 23.51, 1.28, 22.99, 5.52
86.45, 13.55, 4.88, 8.68, -1.21, 7.47, 6.55, 6.15, 18.21, 33.04, 15.81, 79.29, 20.71, 1.28, 23.33, 5.59, 88.01, 11.99, 4.24, 7.75, -1.26, 6.49, 5.64, 2.87, 21.56, 29.35, 16.37, 78.08, 21.92, 1.03, 23.34, 5.6, 89.65, 10.35, 4.21, 6.13, -0.92, 5.21, 4.72, 6.85, 24.4, 28.59, 14.66, 76.49, 23.51, 1.28, 22.99, 5.52, 90.55, 9.45, 4.01, 5.44, 0.22, 5.66, 4.78, 4.53, 24.54, 26.86, 15.47, 77.28, 22.72, 1.27, 23.44, 5.68
88.01, 11.99, 4.24, 7.75, -1.26, 6.49, 5.64, 2.87, 21.56, 29.35, 16.37, 78.08, 21.92, 1.03, 23.34, 5.6, 89.65, 10.35, 4.21, 6.13, -0.92, 5.21, 4.72, 6.85, 24.4, 28.59, 14.66, 76.49, 23.51, 1.28, 22.99, 5.52, 90.55, 9.45, 4.01, 5.44, 0.22, 5.66, 4.78, 4.53, 24.54, 26.86, 15.47, 77.28, 22.72, 1.27, 23.44, 5.68, 88.66, 11.34, 4.15, 7.18, -0.44, 6.74, 5.89, 4.94, 21.61, 28.67, 16.36, 77.39, 22.61, 1.1, 23.62, 5.72
89.65, 10.35, 4.21, 6.13, -0.92, 5.21, 4.72, 6.85, 24.4, 28.59, 14.66, 76.49, 23.51, 1.28, 22.99, 5.52, 90.55, 9.45, 4.01, 5.44, 0.22, 5.66, 4.78, 4.53, 24.54, 26.86, 15.47, 77.28, 22.72, 1.27, 23.44, 5.68, 88.66, 11.34, 4.15, 7.18, -0.44, 6.74, 5.89, 4.94, 21.61, 28.67, 16.36, 77.39, 22.61, 1.1, 23.62, 5.72, 89.71, 10.29, 3.82, 6.47, -0.33, 6.14, 5.85, 5.45, 24.55, 24.89, 17.69, 77.04, 22.96, 0.41, 23.71, 5.75
96.07, 3.93, 2.68, 1.24, -0.19, 1.06, 0.83, 2.21, 60.46, 0.74, 18.44, 17.57, 82.43, -1.99, 14.42, 5.29, 95.88, 4.12, 2.75, 1.37, -0.13, 1.24, 0.88, 0.84, 62.43, 0.95, 17.13, 17.07, 82.93, -1.98, 14.15, 5.21, 95.77, 4.23, 2.77, 1.46, -3.2, -1.74, -1.53, -2.03, 63.72, 1.25, 16.03, 15.93, 84.07, -2.21, 13.96, 5.14, 95.94, 4.06, 2.72, 1.33, -0.7, 0.63, 0.42, 0.52, 65.63, 4.62, 13.17, 14.5, 85.5, -2.29, 13.13, 4.82
